Nom;Sexe;AgeInit;PVInit;ModeFin;Duree;PVFin;Carcasse;Unite;Equation;a;b;PDMoy;Bgompertz;Entretien;PVmr2
1-F1;0;73;30.97700236;1;101;125.3;0.79;3;3;4.851134015;0.019668337;147.1379122;0.005487081;1;70
1-F2;0;73;25.4064663;1;101;125.3;0.79;3;3;4.442342025;0.022633389;124.2272569;0.020138889;1;70
1-F3;0;73;30.24933278;1;101;125.3;0.79;3;3;4.997896328;0.016895462;164.4798345;0.040886401;1;70
1-F4;0;73;29.73629911;1;101;125.3;0.79;3;3;4.876368251;0.021623081;111.7949574;0.023628314;1;70
1-F5;0;73;29.49807861;1;101;125.3;0.79;3;3;6.0299788;0.02169493;165.4643738;0.016741589;1;70
1-F6;0;73;29.06640319;1;101;125.3;0.79;3;3;3.45121326;0.01800242;162.9732149;0.028216112;1;70
1-F7;0;73;27.40542536;1;101;125.3;0.79;3;3;4.442933038;0.020061805;147.887185;0.016419771;1;70
1-F8;0;73;35.72138677;1;101;125.3;0.79;3;3;4.287668505;0.024898076;142.8855464;0.021738522;1;70
1-F9;0;73;26.0821905;1;101;125.3;0.79;3;3;5.009002805;0.024788839;135.2000134;0.013521282;1;70
1-F10;0;73;27.86813231;1;101;125.3;0.79;3;3;3.957008871;0.012862138;159.3785216;0.018455797;1;70
1-F11;0;73;28.27927718;1;101;125.3;0.79;3;3;4.1052277;0.021814628;151.3052468;0.01034401;1;70
1-F12;0;73;28.21848051;1;101;125.3;0.79;3;3;5.30414642;0.023473902;151.5888729;0.011267663;1;70
1-F13;0;73;26.20080478;1;101;125.3;0.79;3;3;4.226556116;0.013772591;135.7776871;0.01157575;1;70
1-F14;0;73;34.40046956;1;101;125.3;0.79;3;3;7.050299296;0.025403814;161.4982671;0.015540248;1;70
1-F15;0;73;34.09368653;1;101;125.3;0.79;3;3;2.874664638;0.022710452;165.1976972;0.019854723;1;70
1-F16;0;73;31.33092303;1;101;125.3;0.79;3;3;4.041883487;0.020597864;161.7479926;0.011030815;1;70
1-F17;0;73;29.56634177;1;101;125.3;0.79;3;3;4.678696826;0.023695511;126.3643506;0.023932466;1;70
1-F18;0;73;30.89318992;1;101;125.3;0.79;3;3;4.022807648;0.023384412;144.4850619;0.031401832;1;70
1-F19;0;73;25.82999468;1;101;125.3;0.79;3;3;3.281568415;0.016005045;118.9759116;0.022136172;1;70
1-F20;0;73;30.08592565;1;101;125.3;0.79;3;3;3.059617233;0.015723899;150.5203089;0.023842565;1;70
1-F21;0;73;29.35955534;1;101;125.3;0.79;3;3;4.287423912;0.026179852;127.8923235;0.019069788;1;70
1-F22;0;73;29.68055224;1;101;125.3;0.79;3;3;4.67943576;0.02505735;135.0621861;0.007346415;1;70
1-F23;0;73;30.28137758;1;101;125.3;0.79;3;3;4.687132414;0.020157678;138.5982052;0.025875977;1;70
1-F24;0;73;31.19896275;1;101;125.3;0.79;3;3;4.058813787;0.010060574;141.253172;0.005620318;1;70
1-F25;0;73;32.23881884;1;101;125.3;0.79;3;3;3.891583327;0.013778987;137.7570871;0.003721545;1;70
1-F26;0;73;29.38439636;1;101;125.3;0.79;3;3;5.06876777;0.031389837;148.9760189;0.012554226;1;70
1-F27;0;73;29.53610115;1;101;125.3;0.79;3;3;3.652433454;0.018690665;121.4107152;0.012899288;1;70
1-F28;0;73;34.06280219;1;101;125.3;0.79;3;3;3.833903954;0.02601538;118.9246136;0.02613433;1;70
1-F29;0;73;29.1914019;1;101;125.3;0.79;3;3;4.833807818;0.022054731;160.1977856;0.020371157;1;70
1-F30;0;73;27.87644807;1;101;125.3;0.79;3;3;4.184365616;0.023995246;119.490539;0.020747894;1;70
1-F31;0;73;27.92523088;1;101;125.3;0.79;3;3;5.43532976;0.028918409;138.2645847;0.015054552;1;70
1-F32;0;73;29.8884113;1;101;125.3;0.79;3;3;5.323096443;0.031404671;163.2445119;0.0224354;1;70
1-F33;0;73;22.5263002;1;101;125.3;0.79;3;3;4.82994303;0.025036311;148.5102214;0.026875934;1;70
1-F34;0;73;31.06844008;1;101;125.3;0.79;3;3;3.406298399;0.017878833;166.3419631;0.013519205;1;70
1-F35;0;73;26.09561752;1;101;125.3;0.79;3;3;4.940199573;0.017962176;165.5884183;0.023831666;1;70
1-F36;0;73;27.87521443;1;101;125.3;0.79;3;3;4.071525163;0.020920987;135.7241088;0.009529928;1;70
1-F37;0;73;27.35080148;1;101;125.3;0.79;3;3;4.582212953;0.021264425;131.6772136;0.016911664;1;70
1-F38;0;73;29.20645886;1;101;125.3;0.79;3;3;4.720123812;0.022140307;128.9625556;0.016774461;1;70
1-F39;0;73;28.96486838;1;101;125.3;0.79;3;3;4.28209149;0.022752897;149.5268877;0.01399732;1;70
1-F40;0;73;33.35914373;1;101;125.3;0.79;3;3;2.636221089;0.018030839;131.6861446;0.017703039;1;70
1-F41;0;73;26.86411735;1;101;125.3;0.79;3;3;3.732602672;0.020408767;131.166563;0.004742395;1;70
1-F42;0;73;34.88865217;1;101;125.3;0.79;3;3;4.980530776;0.021560715;152.5382141;0.002066433;1;70
1-F43;0;73;27.77942238;1;101;125.3;0.79;3;3;4.985923505;0.01369187;134.9741056;0.011401818;1;70
1-F44;0;73;32.15970895;1;101;125.3;0.79;3;3;3.638525041;0.01699112;142.6952712;0.025031575;1;70
1-F45;0;73;31.15803468;1;101;125.3;0.79;3;3;2.978955812;0.016324274;161.0619884;0.019113019;1;70
1-F46;0;73;29.8028;1;101;125.3;0.79;3;3;6.523557362;0.029780116;145.3225291;0.002946368;1;70
1-F47;0;73;28.21899206;1;101;125.3;0.79;3;3;4.540647513;0.024854626;120.9519879;0.017038492;1;70
1-F48;0;73;29.87487726;1;101;125.3;0.79;3;3;3.155791922;0.021100822;138.516177;0.004058502;1;70
1-F49;0;73;23.48587234;1;101;125.3;0.79;3;3;4.428564177;0.026665529;135.507085;0.001748204;1;70
1-F50;0;73;24.90447429;1;101;125.3;0.79;3;3;6.219931987;0.021580077;157.9621904;0.030509046;1;70
1-F51;0;73;26.89769057;1;101;125.3;0.79;3;3;7.961957037;0.025245997;152.7797905;0.007659822;1;70
1-F52;0;73;34.26753673;1;101;125.3;0.79;3;3;2.860311393;0.016466839;127.3128329;0.015598103;1;70
1-F53;0;73;31.25013618;1;101;125.3;0.79;3;3;4.573103373;0.021745546;128.8376476;0.022211968;1;70
1-F54;0;73;23.146757;1;101;125.3;0.79;3;3;4.799588201;0.02740566;157.0853909;0.022426913;1;70
1-F55;0;73;33.97372719;1;101;125.3;0.79;3;3;2.505525644;0.015389029;138.5666083;0.001411029;1;70
1-F56;0;73;29.90715564;1;101;125.3;0.79;3;3;4.804226923;0.024684748;143.9703295;0.021971801;1;70
1-F57;0;73;31.90562626;1;101;125.3;0.79;3;3;3.297897796;0.015572396;151.5825725;0.02004907;1;70
1-F58;0;73;26.18130442;1;101;125.3;0.79;3;3;4.76232098;0.020953144;138.2069116;0.009123644;1;70
1-F59;0;73;34.8876789;1;101;125.3;0.79;3;3;3.522364962;0.020509702;139.0591153;0.020477066;1;70
1-F60;0;73;31.44597659;1;101;125.3;0.79;3;3;5.609095357;0.023920105;128.9717717;0.025579326;1;70
1-F61;0;73;27.57169195;1;101;125.3;0.79;3;3;5.351251365;0.029866003;139.3060482;0.019911346;1;70
1-F62;0;73;27.11346683;1;101;125.3;0.79;3;3;4.01504846;0.011707891;151.8136765;0.022167612;1;70
1-F63;0;73;35.24428696;1;101;125.3;0.79;3;3;4.294878156;0.023597183;145.0699124;0.008631636;1;70
1-F64;0;73;28.14608305;1;101;125.3;0.79;3;3;4.406701677;0.014935947;146.888354;0.033419792;1;70
1-F65;0;73;25.77905631;1;101;125.3;0.79;3;3;5.124622845;0.01334044;126.3931264;0.018004378;1;70
1-F66;0;73;31.0765445;1;101;125.3;0.79;3;3;5.048835988;0.028329966;171.731791;0.069942398;1;70
1-F67;0;73;33.14888261;1;101;125.3;0.79;3;3;6.127506711;0.017926236;172.2571276;0.029642517;1;70
1-F68;0;73;29.52742999;1;101;125.3;0.79;3;3;3.472555748;0.018555924;147.8597592;0.015418331;1;70
1-F69;0;73;33.11718314;1;101;125.3;0.79;3;3;5.403126914;0.025178439;138.8355351;0.02623249;1;70
1-F70;0;73;29.09069041;1;101;125.3;0.79;3;3;4.11115994;0.016180121;141.9506625;0.016163559;1;70
1-F71;0;73;32.9357915;1;101;125.3;0.79;3;3;4.348965179;0.019231475;143.1846843;0.000501225;1;70
1-F72;0;73;27.29466139;1;101;125.3;0.79;3;3;3.959693101;0.026647027;96.56538334;0.022507258;1;70
1-F73;0;73;28.23665469;1;101;125.3;0.79;3;3;3.760438159;0.023211389;151.7577889;0.013099958;1;70
1-F74;0;73;35.3621607;1;101;125.3;0.79;3;3;4.87573615;0.019031845;137.7396183;0.007982815;1;70
1-F75;0;73;32.90864787;1;101;125.3;0.79;3;3;4.664570493;0.018494275;152.2433155;0.008251656;1;70
1-F76;0;73;29.51857806;1;101;125.3;0.79;3;3;4.31886775;0.018493105;143.0864104;0.000949772;1;70
1-F77;0;73;30.59705418;1;101;125.3;0.79;3;3;5.287334361;0.018991681;158.9039881;0.016659921;1;70
1-F78;0;73;29.33438201;1;101;125.3;0.79;3;3;6.241184162;0.027745802;150.2456873;0.000510594;1;70
1-F79;0;73;27.78358853;1;101;125.3;0.79;3;3;5.011497957;0.020722339;156.3924804;0.021482384;1;70
